body,category,rating,url,price,title,referer,stock,newcookies,size
,Home,Three,http://localhost/books.toscrape.com/index.html,,,,,,51294
,Home,One,http://localhost/books.toscrape.com/catalogue/page-2.html,,,http://localhost/books.toscrape.com/index.html,,,50949
,Young Adult,Five,http://localhost/books.toscrape.com/catalogue/set-me-free_988/index.html,,Set Me Free,http://localhost/books.toscrape.com/index.html,19,,18286
,Travel,Two,http://localhost/books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,,It's Only the Himalayas,http://localhost/books.toscrape.com/index.html,19,,19362
,Politics,Two,http://localhost/books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,,Libertarianism for Beginners,http://localhost/books.toscrape.com/index.html,19,,18956
,Science Fiction,One,http://localhost/books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,,Mesaerion: The Best Science Fiction Stories 1800-1849,http://localhost/books.toscrape.com/index.html,19,,19954
,Poetry,One,http://localhost/books.toscrape.com/catalogue/olio_984/index.html,,Olio,http://localhost/books.toscrape.com/index.html,19,,19527
,Music,Three,http://localhost/books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",http://localhost/books.toscrape.com/index.html,19,,18795
,Music,Five,http://localhost/books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,,Rip it Up and Start Again,http://localhost/books.toscrape.com/index.html,19,,18360
,Sequential Art,Five,http://localhost/books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://localhost/books.toscrape.com/index.html,19,,18760
,Poetry,Four,http://localhost/books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,,Shakespeare's Sonnets,http://localhost/books.toscrape.com/index.html,19,,18441
,Default,Two,http://localhost/books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,,"Starving Hearts (Triangular Trade Trilogy, #1)",http://localhost/books.toscrape.com/index.html,19,,19216
,Mystery,Four,http://localhost/books.toscrape.com/catalogue/sharp-objects_997/index.html,,Sharp Objects,http://localhost/books.toscrape.com/index.html,20,,14847
,Poetry,One,http://localhost/books.toscrape.com/catalogue/the-black-maria_991/index.html,,The Black Maria,http://localhost/books.toscrape.com/index.html,19,,22698
,Default,Four,http://localhost/books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,http://localhost/books.toscrape.com/index.html,19,,20872
,Default,Three,http://localhost/books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",http://localhost/books.toscrape.com/index.html,19,,23375
,Business,Four,http://localhost/books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,,The Dirty Little Secrets of Getting Your Dream Job,http://localhost/books.toscrape.com/index.html,19,,19806
,Young Adult,One,http://localhost/books.toscrape.com/catalogue/the-requiem-red_995/index.html,,The Requiem Red,http://localhost/books.toscrape.com/index.html,19,,16468
,History,Five,http://localhost/books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,,Sapiens: A Brief History of Humankind,http://localhost/books.toscrape.com/index.html,20,,17026
,Fiction,One,http://localhost/books.toscrape.com/catalogue/soumission_998/index.html,,Soumission,http://localhost/books.toscrape.com/index.html,20,,12431
,Historical Fiction,One,http://localhost/books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,,Tipping the Velvet,http://localhost/books.toscrape.com/index.html,20,,10918
,Poetry,Three,http://localhost/books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,,A Light in the Attic,http://localhost/books.toscrape.com/index.html,22,,9279
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/novels_46/index.html,,,http://localhost/books.toscrape.com/index.html,,,21456
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/crime_51/index.html,,,http://localhost/books.toscrape.com/index.html,,,21493
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/erotica_50/index.html,,,http://localhost/books.toscrape.com/index.html,,,21248
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/cultural_49/index.html,,,http://localhost/books.toscrape.com/index.html,,,21269
,Books,Two,http://localhost/books.toscrape.com/catalogue/category/books/politics_48/index.html,,,http://localhost/books.toscrape.com/index.html,,,24717
,Books,Three,http://localhost/books.toscrape.com/catalogue/category/books/health_47/index.html,,,http://localhost/books.toscrape.com/index.html,,,26240
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/short-stories_45/index.html,,,http://localhost/books.toscrape.com/index.html,,,21264
,Books,Three,http://localhost/books.toscrape.com/catalogue/category/books/suspense_44/index.html,,,http://localhost/books.toscrape.com/index.html,,,21362
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/christian_43/index.html,,,http://localhost/books.toscrape.com/index.html,,,24662
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/historical_42/index.html,,,http://localhost/books.toscrape.com/index.html,,,22924
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/self-help_41/index.html,,,http://localhost/books.toscrape.com/index.html,,,27997
,Books,Two,http://localhost/books.toscrape.com/catalogue/category/books/academic_40/index.html,,,http://localhost/books.toscrape.com/index.html,,,21359
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/thriller_37/index.html,,,http://localhost/books.toscrape.com/index.html,,,36067
,Books,Two,http://localhost/books.toscrape.com/catalogue/category/books/biography_36/index.html,,,http://localhost/books.toscrape.com/index.html,,,27988
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/spirituality_39/index.html,,,http://localhost/books.toscrape.com/index.html,,,29649
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/contemporary_38/index.html,,,http://localhost/books.toscrape.com/index.html,,,24345
,Books,Four,http://localhost/books.toscrape.com/catalogue/category/books/business_35/index.html,,,http://localhost/books.toscrape.com/index.html,,,39006
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html,,,http://localhost/books.toscrape.com/index.html,,,28767
,Books,Three,http://localhost/books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html,,,http://localhost/books.toscrape.com/index.html,,,54178
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,,,http://localhost/books.toscrape.com/index.html,,,49356
,Books,Two,http://localhost/books.toscrape.com/catalogue/category/books/horror_31/index.html,,,http://localhost/books.toscrape.com/index.html,,,44510
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/humor_30/index.html,,,http://localhost/books.toscrape.com/index.html,,,35542
,Books,Five,http://localhost/books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html,,,http://localhost/books.toscrape.com/index.html,,,21377
,Books,Two,http://localhost/books.toscrape.com/catalogue/category/books/parenting_28/index.html,,,http://localhost/books.toscrape.com/index.html,,,21492
,Books,Two,http://localhost/books.toscrape.com/catalogue/category/books/autobiography_27/index.html,,,http://localhost/books.toscrape.com/index.html,,,33034
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/psychology_26/index.html,,,http://localhost/books.toscrape.com/index.html,,,30968
,Books,Four,http://localhost/books.toscrape.com/catalogue/category/books/art_25/index.html,,,http://localhost/books.toscrape.com/index.html,,,31769
,Books,One,http://localhost/books.toscrape.com/catalogue/category/books/paranormal_24/index.html,,,http://localhost/books.toscrape.com/index.html,,,21385
,Home,Three,http://localhost/books.toscrape.com/catalogue/page-3.html,,,http://localhost/books.toscrape.com/catalogue/page-2.html,,,51374
,Home,Three,http://localhost/books.toscrape.com/catalogue/page-1.html,,,http://localhost/books.toscrape.com/catalogue/page-2.html,,,50469
,Poetry,Two,http://localhost/books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,,You can't bury them all: Poems,http://localhost/books.toscrape.com/catalogue/page-2.html,17,,20803
,Thriller,Four,http://localhost/books.toscrape.com/catalogue/behind-closed-doors_962/index.html,,Behind Closed Doors,http://localhost/books.toscrape.com/catalogue/page-2.html,18,,18767
,Mystery,One,http://localhost/books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,,"In a Dark, Dark Wood",http://localhost/books.toscrape.com/catalogue/page-2.html,18,,18098
,Default,Two,http://localhost/books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,,Maude (1883-1993):She Grew Up with the country,http://localhost/books.toscrape.com/catalogue/page-2.html,18,,19216
,Default,Three,http://localhost/books.toscrape.com/catalogue/penny-maybe_965/index.html,,Penny Maybe,http://localhost/books.toscrape.com/catalogue/page-2.html,18,,17010
,Philosophy,Five,http://localhost/books.toscrape.com/catalogue/sophies-world_966/index.html,,Sophie's World,http://localhost/books.toscrape.com/catalogue/page-2.html,18,,18632
,Academic,Two,http://localhost/books.toscrape.com/catalogue/logan-kade-fallen-crest-high-55_384/index.html,,Logan Kade (Fallen Crest High #5.5),http://localhost/books.toscrape.com/catalogue/category/books/academic_40/index.html,5,,19344
,Self Help,Five,http://localhost/books.toscrape.com/catalogue/how-to-stop-worrying-and-start-living_431/index.html,,How to Stop Worrying and Start Living,http://localhost/books.toscrape.com/catalogue/category/books/self-help_41/index.html,6,,19673
,Self Help,Three,http://localhost/books.toscrape.com/catalogue/you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life_508/index.html,,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,http://localhost/books.toscrape.com/catalogue/category/books/self-help_41/index.html,7,,19289
,Self Help,Three,http://localhost/books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html,,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",http://localhost/books.toscrape.com/catalogue/category/books/self-help_41/index.html,14,,19806
,History,Two,http://localhost/books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html,,The Rise and Fall of the Third Reich: A History of Nazi Germany,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,6,,19811
,History,Five,http://localhost/books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html,,A Short History of Nearly Everything,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,7,,19829
,History,Five,http://localhost/books.toscrape.com/catalogue/most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imagination_509/index.html,,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,8,,23879
,History,Three,http://localhost/books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html,,Brilliant Beacons: A History of the American Lighthouse,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,8,,23312
,History,Two,http://localhost/books.toscrape.com/catalogue/house-of-lost-worlds-dinosaurs-dynasties-and-the-story-of-life-on-earth_170/index.html,,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,3,,20119
,History,Two,http://localhost/books.toscrape.com/catalogue/the-guns-of-august_254/index.html,,The Guns of August,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,3,,18392
,History,Two,http://localhost/books.toscrape.com/catalogue/americas-war-for-the-greater-middle-east-a-military-history_361/index.html,,America's War for the Greater Middle East: A Military History,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,5,,25177
,History,Four,http://localhost/books.toscrape.com/catalogue/the-hiding-place_406/index.html,,The Hiding Place,http://localhost/books.toscrape.com/catalogue/category/books/history_32/index.html,5,,19243
